ID,ADDITIONAL_DESCRIPTION
2880941,<ul><li>Flexible rubber nosepiece</li><li>Co-injected temples</li><li>Available in a Carhartt capture clam or polybag</li></ul>
2880942,<ul><li>Flexible rubber nosepiece</li><li>Co-injected straight-back temples</li><li>Unique half-frame design for the active lifestyle</li><li>Available in a Carhartt capture clam or polybag</li></ul>
2880943,<ul><li>Flexible rubber nosepiece</li><li>Co-injected straight-back temples</li><li>Unique half-frame design for the active lifestyle</li><li>Available in a Carhartt capture clam or polybag</li></ul>
2880944,<ul><li>Flexible rubber nosepiece</li><li>Co-injected straight-back temples</li><li>Unique half-frame design for the active lifestyle</li><li>Available in a Carhartt capture clam or polybag</li></ul>
2880945,<ul><li>Indirect vented foam padded carriage</li><li>Interchangeable temples/strap are included</li><li>Available in a Carhartt polybag</li></ul>
2880946,<ul><li>Indirect vented foam padded carriage</li><li>Interchangeable temples/strap are included</li><li>Available in a Carhartt polybag</li></ul>
2880947,<ul><li>Indirect vented foam padded carriage</li><li>Interchangeable temples/strap are included</li><li>Available in a Carhartt polybag</li></ul>
2880948,<ul><li>Indirect vented foam padded carriage</li><li>Interchangeable temples/strap are included</li><li>Available in a Carhartt polybag</li></ul>
2880949,<ul><li>Indirect vented foam padded carriage</li><li>Interchangeable temples/strap are included</li><li>Available in a Carhartt polybag</li></ul>
2880956,"<ul><li>Straight-back vented, flexible temples</li><li>Rubber nosepiece</li><li>Rubber temple tips</li><li>Available in a Carhartt capture clam or polybag</li></ul>"
2880957,"<ul><li>Straight-back vented, flexible temples</li><li>Rubber nosepiece</li><li>Rubber temple tips</li><li>Available in a Carhartt capture clam or polybag</li></ul>"
2880958,"<ul><li>Straight-back vented, flexible temples</li><li>Rubber nosepiece</li><li>Rubber temple tips</li><li>Available in a Carhartt capture clam or polybag</li></ul>"
2880959,"<ul><li>Straight-back vented, flexible temples</li><li>Rubber nosepiece</li><li>Rubber temple tips</li><li>Available in a Carhartt capture clam or polybag</li></ul>"
2880960,<ul><li>Suspended anti-fog lens</li><li>Adjustable rubber nosepiece and co-injected temple tips</li><li>Available in a Carhartt capture clamor polybag</li></ul>
2880961,<ul><li>Suspended anti-fog lens</li><li>Adjustable rubber nosepiece and co-injected temple tips</li><li>Available in a Carhartt capture clamor polybag</li></ul>
2880969,<ul><li>Constructed from durable nylon</li><li>Ratchet adjustment for easy fit</li><li>Pivoting action allows user to lift face shield while wearing</li><li>Adjustable pegs will accommodate a wide variety of face shields</li></ul>
2880970,"<ul><li>Meets ANSI Z87</li><li>8"" x 15"" |. 040"" thick</li><li>Universal slots will accommodate a wide variety of headgear</li><li>Shown with HGBR - sold separately</li></ul>"
2880971,<ul><li>NRR 32dB / SNR 36dB</li><li>Soft foam earplugs gently expand and self adjust to all size ear canals</li></ul>
2880972,<ul><li>NRR 22dB</li><li>Dielectric</li><li>Lightweight and comfortable</li><li>Durable nylon headband</li></ul>
2780056,Hard Spectacle Case
2780139,"<ul><li>Shell constructed from polyethylene materials</li><li>For applications where hard hats are not required, but some protection from minor bumps and scalp lacerations are needed</li><li>Available with 4-point glide lock suspension</li><li>Ventilation holes - keeps your head cool and dry for all day wear</li><li>Replaceable sweat band - padded fabric and polyurethane foam for all day wear</li><li>Ridgeline bump caps are not designed to meet the safety standards for industrial head protection</li><li>Custom imprinting available on bump caps</li></ul>"
2780290,"<ul><li>Soft, adjustable rubber nosepiece</li><li>Passes MIL-PRF 32432 High Velocity Impact Standards</li></ul>"
2780373,<ul><li>Ratchet suspension is easy to adjust and allows the wearer to modify the fit while wearing hard hat</li><li>4-point Ratchet Replacement Suspension</li></ul>
2780374,<ul><li>Ratchet suspension is easy to adjust and allows the wearer to modify the fit while wearing hard hat</li><li>4-point Ratchet Replacement Suspension</li></ul>
2780375,<ul><li>Ratchet suspension is easy to adjust and allows the wearer to modify the fit while wearing hard hat</li><li>4-point Ratchet Replacement Suspension</li></ul>
