ID,ADDITIONAL_DESCRIPTION
5056270,"<table class=""description-table""><tr><td><font></font></td><td><font> Spring Retractable High Temperature Reel </font></td></tr><tr><td><font></font></td><td><font>Reelcraft's Series 7000 is very robust and ideal for the most demanding applications. The high operating temperature hose reels (HTH) are supplied with low pressure, rubber hoses for more extreme air temperature applications. The HTH reels are rated for temperatures ranging from -40 F (-40 C) to 212 F (100 C).</font></td></tr></table><table class=""description-table""><p> <li>Reinforced steel - The steel guide arm and base are stamped with ribs and gussets to insure maximum strength and lightest possible weight.</li> </p> <p> <li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li> </p> <p> <li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li> </p> <p> <li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li> </p><br></table></table>"
2793471,"<table class=""description-table""><tr><td><font></font></td><td><font> Heavy Duty Light Cord Reel </font></td></tr><tr><td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td></tr></table><table class=""description-table""><p> <li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li> </p> <p> <li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li> </p> <p> <li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li> </p> <p> <li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li> </p><br></table></table>"
2793413,"<table class=""description-table""><tr><td><font></font></td><td><font> Heavy Duty Hand Crank Hose Reel </font></td></tr><tr><td><font></font></td><td><font>Reelcraft's Series 30000 reels are designed for rugged, heavy duty applications requiring long lengths of hose and large storage capacity. All-bolted unitized construction with no welds to fatigue, full flow swivel and heavy gauge steel frame, spool and drum ensure longest service life. Series 30000s vibration-proof, self-locking fasteners are ideal for industrial or field use such as turf care or pest control.</font></td></tr></table><table class=""description-table""><p> <li>Hose replacement made easy - the goose neck can easily be removed to simplify adding long lengths of hose to the reel.</li> </p> <p> <li>Full flow stress free swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. </li> </p> <p> <li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li> </p> <p> <li>Easy to add tension - The T-handle tensioning device allows proper tension to be applied to the spool to eliminate the free spooling of the reel.</li> </p><br></table></table>"
2793507,"<table class=""description-table""><tr><td><font></font></td><td><font> Low Pressure Air/Water Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td></tr></table>"
2793511,"<table class=""description-table""><tr><td><font></font></td><td><font> Low Pressure Air/Water Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td></tr></table>"
2793515,"<table class=""description-table""><tr><td><font></font></td><td><font> Low Pressure Air/Water Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td></tr></table>"
2793499,"<table class=""description-table""><tr><td><font></font></td><td><font> Low Pressure Air/Water Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td></tr></table>"
2793475,"<table class=""description-table""><tr><td><font></font></td><td><font> Heavy Duty Light Cord Reel </font></td></tr><tr><td><font></font></td><td><font>Reelcraft's series L 4000 and L 5000 power and light cord reels offer many different styles of outlets and lamps. Easy to mount and structurally strong, the power cord and light cord reels have robotically welded heavy gauge steel frame that attaches to most structurally sound surfaces. For indoor, non-weather tight applications only. *UL/CSA approved*</font></td></tr></table><table class=""description-table""><p> <li>Reinforced steel - The robotically welded steel base offers maximum strength and consistent quality.</li> </p> <p> <li>Heavy duty collector ring - A robust collector ring assures maximum conductivity current flow.</li> </p> <p> <li>Long life drive spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding. Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li> </p> <p> <li>Quality finish and corrosion resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li> </p><br></table></table>"
2793483,"<table class=""description-table""><tr><td><font></font></td><td><font> Air/Water Inlet Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. NOTE: A flexible hose connection must be used between the hose reel inlet and the source of supply to prevent possible misalignment and binding or warranty is void. Swivel fittings are recommended to protect hose during installation.</font></td></tr></table>"
2793503,"<table class=""description-table""><tr><td><font></font></td><td><font> Low Pressure Air/Water Hose </font></td></tr><tr><td><font></font></td><td><font>Low pressure, air/water, PVC nylon braid hose. Be sure working pressure required does not exceed rating listed in chart.</font></td></tr></table>"
