ID,ADDITIONAL_DESCRIPTION,GA_ATTRIBUTES
5861767,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860431,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861772,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861781,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861785,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861788,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861793,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861802,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861806,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861809,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861814,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861823,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860441,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861827,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861830,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861835,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861844,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861848,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861851,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861856,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861865,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861869,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5861872,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
5860446,"<p>Lightweight design and low EPA minimize pole load</p><p>Best-in-class 5-G vibration rating</p><p>100,000-hour LED lifespan</p>",purchase-dimension7:new-image-document-additional-description-dima-March2020
