ID,ADDITIONAL_DESCRIPTION
2986173,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986367,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986302,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986145,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986172,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986225,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986198,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986318,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986354,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986270,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986223,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986330,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
2986290,"<p>The Panther XT high torque synchronous belt is a powerful alternative to chain or a drop-in replacement for polyurethane belts. Carbon cord construction and abrasion resistant tooth fabric contribute to longer belt life and reduced maintenance, downtime and noise levels.</p>"
