ID,ADDITIONAL_DESCRIPTION
2246541,"<h5>Description</h5><p>Use to apply Tie-Lok Ties</p><td><p>Applies 1/4"" wide smooth ID Tie-Lok Ties used in cable bundling, hose bundling, CV boot installation and identification tagging. Locks tie with the patented Tie-Lok and cuts off excess band flush with top of buckle so the completed buckle is smooth and not sharp</p> <ul><li>Forms patented dimple lock with a strong locking force of 250 pounds (130 Kg) </li><li>Adjustable controlled tension with repeatable results </li><li>Easy to use, lightweight, compact design</li></ul></td><h5>Specifications</h5><table class=""description-table""><tbody><tr><td colspan=""4""></td></tr><tr><td colspan=""4"">Applies 1/4"" wide smooth ID Tie-Lok Ties used in cable bundling, hose bundling, CV boot installation and identification tagging. Locks tie with the patented Tie-Lok and cuts off excess band flush with top of buckle so the completed buckle is smooth and not sharp <ul><li>Forms patented dimple lock with a strong locking force of 250 pounds (130 Kg) </li><li>Adjustable controlled tension with repeatable results </li><li>Easy to use, lightweight, compact design</li></ul></td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Specifications</th></tr><tr><td colspan=""4"">Weight: 0.454 kg</td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Use to install band type</th></tr><tr><td colspan=""4"">Tie-Lok Ties</td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Tool Accessories</th></tr><tr><td colspan=""4"">None</td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Tie-Lok II Tool Replacement Parts</th></tr><tr><td colspan=""4"">A93687 Blade</td></tr><tr><td colspan=""4"">A91887 Punch</td></tr><tr><td colspan=""4"">A94387 Right Clip</td></tr><tr><td colspan=""4"">A94287 Left Clip</td></tr></tbody></table>"
2246771,"<h5>Description</h5><p>Use to apply 3/8"" wide Tie-Lok Stainless Steel Ties</p><h5>Specifications</h5><table class=""description-table""><tbody><tr><td></td></tr><tr><td colspan=""4"">The new TL3800 Tie-Lock Tool. Specifically designed to install 3/8"" wide Tie-Lok Stainless Steel Ties. Hardened steel construction with corrosion resistant finish. Repeatable, controlled tie tension. Punch depth limiter. Light weight, compact design. Cut off produces clean hidden edges. </td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Specifications</th></tr><tr><td colspan=""4"">Weight: 0.626 kg. Tension control: spring loaded ratchet drive. Tensioning force: 147.42 kg (325 lbs) average. Lock Type: Dimple. </td></tr><tr><td colspan=""4""></td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Use to install band types</th></tr><tr><td colspan=""4"">Tie-Lok Stainless Steel Ties in 3/8"" wide only</td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Tool Accessories</th></tr><tr><td colspan=""4"">None</td></tr><tr><td colspan=""4""></td></tr><tr><th colspan=""4"">Tie-Lok Tool Replacement Parts</th></tr><tr><td colspan=""4"">Contact BAND-IT for more information at (44) 1246 479479</td></tr></tbody></table>"
28884,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28882,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28881,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28880,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28879,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28878,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28877,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28876,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28875,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28874,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
28873,<h5>Description</h5><p>Apply four times faster than band and buckle with hand tools!</p>
